(house, casa)
(dog, perro)
(homework, tarea)
(woman, mujer)
(town, pueblo)
(yes, sí)
(apple, manzana)
(tree, árbol)
(cat, gato)
(book, libro)
(pen, lapicero)
(water, agua)
(fire, fuego)
(earth, tierra)
(sun, sol)
(moon, luna)
(car, carro)
(street, calle)
(friend, amigo)
(time, tiempo)
(day, día)
(night, noche)
(boy, niño)
(girl, niña)
(food, comida)
(computer, computadora)
(keyboard, teclado)
(mouse, ratón)
(screen, pantalla)
(phone, teléfono)
(door, puerta)
(window, ventana)
(chair, silla)
(table, mesa)
(shoe, zapato)
(shirt, camisa)
(pants, pantalón)
(hat, sombrero)
(color, color)
(life, vida)
